,bathrooms,bedrooms,longitude,latitude,price
40099,1.0,1,-73.9857,40.7656,3000
18337,1.0,1,-73.9838,40.6765,2300
7481,1.0,2,-74.002,40.7313,3000
44845,1.0,3,-73.9782,40.7299,6075
9473,3.0,3,-73.9942,40.7339,9500
38538,1.0,1,-73.9916,40.7677,3290
28381,1.0,0,-73.9639,40.7182,3545
31038,1.0,2,-73.9681,40.7574,2395
21117,1.0,1,-73.949,40.78,2350
18471,1.0,3,-73.9591,40.764,4350
22181,1.0,2,-73.9569,40.7697,3950
10763,1.0,2,-73.8145,40.755,1875
47561,1.0,1,-73.9566,40.7704,3495
41647,1.0,0,-74.0072,40.7067,2500
28591,1.0,2,-73.984,40.7645,3500
1436,1.0,0,-73.976,40.7476,2395
41368,1.0,3,-73.9823,40.7411,4950
10180,1.0,0,-73.976,40.7928,2395
15758,1.0,1,-73.9885,40.7219,2450
30041,1.0,1,-73.9931,40.7327,4175
9331,1.0,1,-73.97399999999998,40.7537,2900
14579,1.0,0,-73.9864,40.7514,2650
3904,1.0,1,-73.94800000000002,40.7723,2400
6230,1.0,2,-74.0046,40.7073,2790
21479,1.0,1,-74.0086,40.7121,3150
40763,1.0,2,-73.9425,40.8455,2550
21805,2.0,3,-73.9811,40.7449,5000
11227,1.0,1,-73.9677,40.7605,2800
5896,1.0,3,-73.9216,40.6907,3100
22122,1.0,2,-73.9865,40.7315,4750
33462,1.0,3,-73.9809,40.7278,4590
44859,2.0,4,-74.0014,40.7419,6200
30900,1.0,3,-73.9822,40.6729,3650
10006,1.0,1,-73.9039,40.8824,1350
40221,1.0,3,-73.9884,40.7255,4500
6551,1.0,1,-73.9722,40.7892,2900
10827,1.0,0,-73.9664,40.8059,1800
11396,1.0,1,-73.957,40.7624,2000
47965,1.0,2,-73.9498,40.7703,2800
27193,1.0,1,-73.9563,40.778,2700
7323,1.0,0,-73.9752,40.7855,2050
39935,1.0,3,-73.9092,40.6945,2400
8165,1.0,1,-74.01,40.7156,4150
29311,1.0,2,-73.9325,40.8578,2695
32314,1.0,0,-73.9402,40.752,2000
45719,1.0,0,-73.94800000000002,40.7842,2390
30356,2.0,2,-73.9434,40.7878,3495
37402,1.0,2,-73.9551,40.7087,3660
46214,1.0,3,-73.9388,40.6325,2700
9116,1.0,2,-73.9492,40.7793,3600
40736,1.0,0,-73.995,40.7306,2495
25383,1.0,2,-73.9523,40.7693,2500
1182,1.0,0,-73.9631,40.7983,1895
17965,1.0,0,-73.976,40.7476,2650
330,1.0,2,-73.9157,40.8063,2195
25919,1.0,2,-73.9397,40.8026,2400
48428,1.0,1,-73.9196,40.6798,1775
23186,1.0,2,-73.9563,40.7724,3095
33688,1.0,0,-73.9564,40.8036,1695
2437,3.0,3,-74.0127,40.7028,7695
29743,0.0,2,-73.9556,40.776,6000
39860,1.0,1,-73.95100000000002,40.7723,3575
4199,1.0,0,-73.9764,40.7894,2200
17800,1.0,1,-73.9789,40.7806,3350
3602,2.0,2,-74.0014,40.6776,4500
6492,1.0,2,-74.0047,40.7171,5395
41067,1.0,1,-74.018,40.7066,2649
42261,1.0,1,-73.9947,40.7239,3250
11182,1.0,0,-73.9704,40.7575,1790
28966,1.0,2,-74.0016,40.7391,4395
36337,1.0,2,-73.9623,40.7612,3000
45922,1.0,4,-73.9356,40.8468,2995
5209,1.0,2,-73.9789,40.7425,3350
46721,1.0,1,-73.9496,40.7709,1950
12397,2.0,3,-73.9401,40.845,3300
2727,1.0,1,-74.0062,40.7053,4350
44287,1.0,2,-73.9556,40.7716,2795
21688,1.0,0,-74.0017,40.727,2650
14263,2.0,2,-73.8638,40.7327,3460
7347,1.0,1,-73.9785,40.7655,3425
4998,1.0,0,-73.968,40.7976,2350
4061,1.0,1,-73.9686,40.8005,2595
45938,1.0,3,-73.9766,40.6803,3400
24557,1.0,2,-73.9562,40.6695,2595
31547,1.0,1,-73.9436,40.769,2400
49008,2.5,2,-74.0165,40.7085,10500
17906,1.0,1,-73.9801,40.7406,3095
44077,1.0,0,-73.9511,40.7833,1895
22407,1.0,2,-74.0049,40.7166,3295
37562,1.0,1,-73.957,40.8031,2500
24689,1.0,2,-73.9392,40.8021,2275
20218,1.0,0,-74.0089,40.7046,3016
36751,1.0,1,-73.9756,40.7308,3332
37724,3.0,2,-74.0122,40.7074,5515
4709,2.0,2,-74.0046,40.7073,5665
21982,2.0,2,-73.9675,40.7933,5530
17546,1.0,1,-73.9969,40.7563,1995
1803,1.0,2,-73.9866,40.7514,3000
46856,1.0,1,-73.9299,40.8532,1575
47490,1.0,1,-73.9883,40.7322,3400
22201,1.0,1,-73.9608,40.7688,3995
33051,1.0,1,-73.9885,40.7777,3105
15433,2.0,2,-74.0084,40.7378,6000
9089,1.0,2,-73.9328,40.8495,2500
15597,1.0,2,-73.9321,40.7954,2750
33479,1.0,1,-73.9822,40.7406,3395
14431,1.0,3,-73.9544,40.7865,3795
19652,2.0,3,-73.9661,40.7929,5534
21507,0.0,0,-73.9781,40.7413,2762
13059,1.0,1,-73.9319,40.7055,2000
32540,1.0,0,-73.954,40.7693,1995
7530,2.0,2,-73.9545,40.7357,2748
34395,1.0,1,-73.9829,40.7756,2695
48904,1.0,3,-74.0063,40.7347,6600
39308,1.0,4,-74.0099,40.7062,4200
21580,1.0,2,-73.9839,40.7316,3700
42478,2.0,3,-73.9571,40.7762,6995
5153,2.0,3,-73.9095,40.8803,3200
23126,1.0,0,-73.9938,40.7005,1850
33649,1.0,2,-73.9467,40.7761,2500
8998,1.5,3,-73.9875,40.7318,5550
42345,1.0,2,-73.97710000000002,40.7269,3450
48194,1.0,1,-73.9286,40.8612,1599
13160,1.0,0,-73.9918,40.7664,3257
45791,1.0,0,-73.999,40.761,2500
11277,1.0,1,-73.9549,40.7676,2395
29775,1.0,0,-74.0076,40.7047,3887
26746,2.0,4,-73.9839,40.724,5650
45054,1.0,2,-73.7142,40.7493,1900
29301,1.0,1,-73.9826,40.7753,3600
13092,3.0,4,-73.96,40.7694,9000
29159,1.0,0,-73.9934,40.7366,2900
41358,1.0,0,-73.9653,40.7554,1975
31249,1.0,0,-73.9798,40.7667,2850
21391,2.0,3,-73.9973,40.7565,4900
22881,1.0,0,-73.9727,40.7957,3250
36632,1.0,2,-73.9556,40.7716,2795
39252,1.0,2,-74.0032,40.7368,3692
43939,1.0,1,-73.9623,40.7612,2649
37632,1.0,1,-73.9498,40.7856,3700
40254,2.0,2,-73.999,40.761,4000
41062,1.0,1,-73.96600000000002,40.7602,4600
20412,1.0,1,-73.9525,40.7779,4195
29146,1.0,1,-73.9876,40.771,3200
25250,1.0,1,-73.9461,40.7827,2050
36803,1.0,2,-73.952,40.772,5600
4536,1.0,0,-74.0055,40.7111,3000
17772,1.0,0,-73.9628,40.7633,2850
28689,1.0,0,-73.9875,40.7494,2625
15913,1.0,4,-73.9531,40.8104,4200
38862,1.0,1,-73.9567,40.7696,2750
21813,1.0,1,-73.9603,40.7694,3750
34598,1.0,3,-73.9506,40.7929,2475
37289,1.0,2,-73.9874,40.6163,1800
44213,1.0,2,-73.96340000000002,40.799,3200
44074,1.0,0,-74.0066,40.7084,2500
37690,2.0,3,-73.956,40.7999,5700
48738,1.0,2,-73.9649,40.8029,3300
12146,1.0,2,-73.9425,40.7039,2400
17984,1.0,2,-73.9887,40.7401,3300
48610,2.0,4,-73.9936,40.7391,7500
28842,2.0,2,-73.9631,40.7564,3500
48241,1.0,2,-73.9401,40.8214,2000
33712,1.0,1,-73.9915,40.7678,2989
6844,1.0,2,-73.9659,40.7601,3300
48314,2.0,3,-73.9625,40.7575,4350
31703,1.0,2,-73.9803,40.7465,3800
25129,1.0,2,-73.9486,40.7968,2950
10430,1.0,4,-73.9864,40.7399,6295
10189,1.0,4,-73.9833,40.7259,5600
47832,1.0,0,-73.9846,40.7756,2676
8727,2.0,4,-74.0043,40.7075,4800
9084,2.0,2,-73.9734,40.7897,6312
45548,1.0,2,-73.9789,40.7491,3100
8283,1.0,1,-74.0031,40.7367,3365
32537,1.0,3,-73.9416,40.8368,2995
26917,1.0,2,-73.9647,40.8028,3200
36815,1.0,0,-73.9915,40.7678,2935
4027,1.0,0,-74.0036,40.7399,2550
11107,1.0,1,-73.952,40.786,3095
21996,1.0,3,-74.0021,40.7251,5040
13537,1.0,0,-73.9805,40.7399,1850
13813,1.0,3,-73.9221,40.6818,2900
35525,1.0,0,-74.0047,40.7334,5550
31378,2.0,2,-73.9703,40.786,7000
23012,0.0,1,-73.9383,40.7145,2395
33084,2.0,2,-73.9982,40.7568,5200
38314,2.5,2,-73.9593,40.7761,15000
36287,0.0,0,-73.9781,40.7413,2653
29840,1.0,2,-73.9362,40.8457,2295
1071,1.0,1,-73.9744,40.7898,3220
35673,1.0,1,-73.8621,40.6941,1699
9838,2.0,3,-73.9606,40.8013,4500
36735,1.0,0,-73.98100000000002,40.7756,1870
10639,1.0,2,-73.9969,40.7564,2795
4369,2.0,3,-73.998,40.7567,5000
25459,1.0,3,-74.0049,40.7166,3925
9550,1.0,2,-73.9406,40.8325,2100
2751,1.0,0,-73.9183,40.7416,3000
47861,1.0,1,-73.9413,40.6811,2940
17344,1.0,3,-73.9695,40.753,4400
19456,2.0,2,-73.929,40.7404,4590
47746,1.0,2,-73.9769,40.7627,4300
45925,2.0,4,-73.9578,40.8198,3810
15763,1.0,1,-74.0031,40.7436,3250
20897,1.0,2,-73.985,40.7665,3300
32763,1.0,1,-73.9506,40.7716,3200
42230,1.0,1,-74.0149,40.708,2390
30323,1.0,1,-73.9678,40.754,3400
17967,1.5,2,-74.0029,40.7465,4450
46627,2.0,3,-73.9749,40.7482,5000
9250,1.0,1,-73.9832,40.7645,2500
38682,1.0,0,-74.0034,40.7253,2850
24238,1.0,2,-73.9907,40.7177,3200
29516,1.0,0,-73.9445,40.8333,1500
21072,1.0,2,-74.0002,40.7441,2720
25575,1.0,3,-74.0016,40.7371,6195
13844,1.0,2,-73.9864,40.7514,3500
36524,1.0,1,-73.9587,40.7723,2600
8931,1.0,1,-73.9864,40.7314,2795
32335,1.0,2,-73.9378,40.7981,2000
32275,1.0,2,-73.9112,40.6853,2100
27907,1.0,0,-74.0149,40.708,2695
123,1.0,0,-73.9817,40.7393,2500
10893,1.0,3,-73.9832,40.7352,5300
46736,1.0,1,-73.9536,40.7675,3000
20351,1.0,1,-73.9775,40.7473,3000
36403,2.0,4,-73.9781,40.7413,6195
34669,1.0,1,-73.952,40.7709,2400
2057,1.0,1,-74.0055,40.7111,3630
34273,1.0,1,-73.9982,40.7568,3400
23144,1.0,1,-73.9547,40.7751,2275
17444,1.0,1,-73.9601,40.7643,2250
16619,2.0,2,-73.9944,40.7518,6395
14719,1.0,1,-73.9893,40.7639,2100
28188,2.0,3,-73.9813,40.7296,4840
38355,1.0,2,-73.9245,40.6781,1820
38207,1.0,2,-73.983,40.7179,2885
7486,1.0,2,-73.9753,40.7297,4160
30242,1.0,2,-74.0085,40.7057,2995
27963,1.0,1,-73.9478,40.7786,3000
10894,1.0,2,-73.9528,40.8233,2450
29406,1.0,0,-73.9864,40.73,2700
32805,1.0,1,-73.9578,40.8198,1975
34207,1.0,0,-73.9743,40.7439,2720
26753,1.0,2,-73.9464,40.8299,2000
48065,2.0,3,-73.9784,40.7448,5100
18356,2.0,2,-73.9636,40.7661,7900
9593,1.5,3,-73.9781,40.7413,5000
32636,1.0,1,-73.9761,40.7937,2660
49191,1.0,2,-74.0031,40.7367,3692
44568,1.0,2,-73.9208,40.6834,1850
22526,1.0,2,-73.9924,40.7224,2700
14746,1.0,0,-74.0089,40.7045,3206
14310,2.0,4,-73.9748,40.7481,6300
42002,2.0,5,-73.9092,40.6802,4000
2,1.0,1,-74.0018,40.7388,2850
39313,1.0,0,-74.0149,40.708,3875
2755,1.0,0,-73.969,40.7516,2500
11317,2.0,2,-73.9566,40.7704,4795
12286,2.0,3,-73.9773,40.7463,4050
47358,1.0,3,-74.0065,40.7081,3750
44187,1.0,1,-73.9947,40.7239,3250
23805,1.0,2,-73.9522,40.7706,3200
37814,2.0,3,-73.8575,40.7249,2745
48768,2.0,3,-73.9982,40.7568,5200
13709,2.0,2,-74.0078,40.7114,5995
26885,1.0,0,-74.0038,40.7406,2195
11049,1.0,0,-73.9532,40.7745,2450
48297,1.0,1,-73.9622,40.6465,1750
11698,1.0,1,-73.9837,40.7835,2525
47340,1.0,0,-73.9529,40.7739,2550
42950,1.0,2,-73.8767,40.6723,1550
1184,1.0,3,-73.9895,40.7245,6500
40646,1.0,3,-73.9166,40.7444,2750
28473,1.0,1,-74.0047,40.7334,6400
22327,2.0,3,-73.9812,40.7449,5350
10756,1.0,0,-73.9669,40.6728,1965
24451,1.0,1,-73.9822,40.7407,3900
47488,1.0,0,-73.9472,40.7815,1825
15049,1.0,0,-73.9875,40.7494,2500
12696,1.0,2,-73.9764,40.7812,3370
20907,2.0,2,-73.9871,40.7316,4750
12026,1.0,3,-74.0162,40.7056,3775
26148,1.0,1,-74.0311,40.7492,2490
45284,1.0,0,-73.9658,40.7559,1850
48390,1.0,2,-73.9376,40.8452,2300
692,1.0,1,-73.9937,40.7637,2095
48702,1.5,1,-73.9734,40.7488,4500
39838,1.0,1,-73.9705,40.7957,3100
36083,1.0,2,-73.9229,40.8679,2450
8572,1.0,0,-73.983,40.6969,2300
46634,1.0,2,-73.9921,40.7618,2200
35634,1.0,3,-73.9404,40.8364,2500
9389,1.0,1,-73.9267,40.7626,2395
32028,1.0,0,-74.0055,40.7111,3090
5615,1.0,4,-73.8858,40.7238,3200
2522,1.0,1,-74.0148,40.7091,3565
33623,1.0,0,-73.97399999999998,40.7538,2450
12107,1.0,0,-73.9849,40.7633,2800
29931,1.0,3,-73.9458,40.837,2850
11862,1.0,3,-73.9226,40.6759,2100
23344,1.0,1,-73.98100000000002,40.7287,2899
45945,1.0,3,-73.9822,40.7318,3860
43798,1.0,1,-73.9981,40.7372,3700
23710,1.0,1,-73.9963,40.745,2995
20092,1.0,1,-74.0011,40.7521,4477
23989,1.0,2,-73.9839,40.7316,3400
34097,1.0,1,-73.9517,40.7095,2899
3488,1.0,1,-73.9847,40.7295,2399
11940,1.0,0,-73.9764,40.7894,2300
25051,1.0,0,-73.9538,40.7713,1875
9305,1.0,1,-73.968,40.7976,2550
37591,1.0,2,-73.9486,40.7968,2975
38242,2.0,2,-74.0059,40.7128,3400
34068,1.0,2,-73.9937,40.7637,2995
45525,1.0,0,-74.0149,40.708,2449
25106,1.0,1,-73.9451,40.6877,2800
21299,1.0,0,-73.977,40.7488,3100
33951,1.0,1,-73.9851,40.7437,5735
43334,1.0,0,-73.969,40.7565,2350
10168,1.0,1,-73.9857,40.7228,3500
27599,1.0,2,-73.9563,40.7724,3250
46520,1.0,2,-73.92699999999998,40.7721,1950
29410,1.0,2,-73.9907,40.7177,3450
20302,1.5,3,-74.0028,40.7465,4600
26269,1.0,2,-73.9825,40.7301,3595
39210,1.0,1,-73.9522,40.771,3000
43535,1.0,1,-73.9953,40.7553,3210
32370,1.0,0,-73.9472,40.7815,1975
18359,1.0,1,-74.0284,40.6321,1750
4799,1.0,1,-73.9667,40.7947,3715
31749,1.0,2,-73.9569,40.8032,3000
40358,1.0,1,-73.942,40.7087,2750
41119,1.0,0,-73.9871,40.7278,1700
21944,2.0,2,-73.9998,40.7613,3700
43604,0.0,0,-73.9638,40.7621,1850
44296,1.0,0,-74.001,40.7344,2500
34433,1.0,1,-73.9704,40.8005,2500
46860,1.0,2,-73.9357,40.849,2495
36597,3.0,3,-73.9517,40.7662,10000
40298,1.0,0,-73.9483,40.8153,1404
31021,2.0,2,-73.9695,40.7512,4395
11953,1.0,0,-73.988,40.7265,1895
7321,1.0,1,-74.0482,40.8362,2750
20481,1.0,2,-73.9603,40.7695,3650
18715,1.0,0,-73.9785,40.7268,2100
14450,1.0,2,-73.955,40.7087,3700
21950,1.0,2,-73.9765,40.7489,3100
47791,1.0,1,-74.0059,40.7075,2550
8069,1.0,1,-73.9551,40.7757,2500
42826,1.0,0,-74.0018,40.7334,2350
142,1.0,1,-73.9772,40.7412,3150
8451,1.0,1,-73.94800000000002,40.7731,2900
22357,1.0,0,-73.9968,40.7562,2490
22892,1.0,3,-73.9065,40.7735,3195
2493,2.0,2,-73.9458,40.7775,3350
14845,1.0,1,-73.9396,40.8448,1650
19874,1.0,1,-73.9444,40.7802,3395
4895,1.0,1,-73.9846,40.7756,2995
12202,1.0,1,-74.0055,40.7111,3675
14563,2.0,2,-73.9636,40.755,4120
26813,1.0,1,-73.9036,40.7413,1850
37193,1.0,0,-73.9751,40.7798,1795
25333,2.0,3,-73.9571,40.7762,6995
44842,1.0,2,-73.9547,40.5758,2400
13067,1.0,1,-74.0001,40.7441,2495
24114,1.0,1,-73.9909,40.7448,4691
41863,1.0,1,-74.0106,40.7236,4250
4829,1.0,0,-73.977,40.7488,2290
47807,1.0,0,-73.9689,40.7602,2600
28642,1.0,1,-73.9404,40.8486,2000
37288,1.0,0,-73.9487,40.7845,2300
34254,1.0,2,-73.9839,40.7276,4095
8428,2.0,2,-73.9897,40.7745,5500
1560,1.0,0,-73.9892,40.7208,2200
2828,2.0,3,-73.9872,40.7266,6250
2853,1.0,1,-74.0065,40.7081,3139
481,0.0,0,-74.0029,40.7295,3695
18559,1.0,1,-73.95100000000002,40.7723,3645
1470,1.0,1,-73.9724,40.6437,1800
27251,1.0,3,-73.9578,40.8198,3250
17782,1.0,1,-73.994,40.6932,2575
27824,1.0,2,-74.0045,40.7521,3995
11131,1.0,2,-73.9812,40.7733,6375
14110,2.0,2,-73.9948,40.7592,6000
3331,1.5,1,-73.9517,40.7731,4695
29194,1.0,1,-73.9775,40.7473,2775
23606,1.0,2,-73.9812,40.7449,3400
39528,2.0,3,-73.9944,40.7548,4800
3102,1.0,2,-73.9798,40.7258,3650
27014,1.0,0,-73.9539,40.7721,2100
33382,1.0,3,-73.967,40.8021,3495
30431,1.0,4,-74.0062,40.6235,2300
45200,1.0,0,-73.9509,40.7735,2300
42811,1.0,0,-73.9961,40.7373,3225
46596,1.0,3,-73.9487,40.8218,3300
43732,1.0,0,-73.9904,40.7137,2350
19292,1.0,1,-73.9929,40.6983,2100
25147,1.0,2,-73.9913,40.7585,3500
12523,1.0,2,-73.9913,40.7642,3685
31310,1.0,1,-73.9874,40.7392,3995
25308,1.0,0,-73.9823,40.7448,2200
42415,1.0,2,-73.953,40.7812,3750
35012,1.0,1,-73.9941,40.6912,2400
23840,1.0,1,-73.8569,40.7267,1600
4204,1.0,1,-73.9318,40.8539,1575
20805,1.0,1,-73.9444,40.7802,3295
18036,1.0,0,-74.0151,40.7085,2665
25216,4.0,4,-73.9797,40.7215,6400
9945,1.0,2,-73.9465,40.7803,2495
36903,1.0,1,-73.972,40.6771,1850
22108,1.0,1,-73.9806,40.7444,4005
6981,1.0,2,-74.0151,40.7084,2775
15619,1.0,0,-73.9717,40.6918,2000
12919,1.0,1,-73.9939,40.7653,2150
27839,1.0,1,-74.0054,40.7354,3695
13828,1.0,1,-73.9935,40.7247,3895
9045,1.0,2,-74.0134,40.7056,2900
36753,1.0,2,-73.9054,40.8735,1750
7096,1.0,2,-73.9845,40.7262,4295
36781,1.0,1,-73.9403,40.8186,1850
23623,1.0,2,-73.9678,40.7902,3250
42354,1.0,1,-74.0058,40.7311,3500
26638,1.0,1,-73.9792,40.78,3950
26497,1.0,2,-73.9076,40.7736,2295
24898,1.0,1,-73.952,40.8268,2100
4283,2.0,3,-73.9143,40.6842,2695
12737,1.0,0,-73.9756,40.7445,2550
41401,1.0,2,-73.9487,40.7805,2700
25176,2.0,2,-74.0111,40.7061,5753
2385,1.0,2,-73.9727,40.7436,3400
47944,1.0,1,-73.9627,40.7581,3595
5391,1.0,1,-74.0143,40.71,2679
1235,1.0,1,-74.0086,40.7121,4595
37354,1.0,1,-74.0151,40.7085,2765
32787,1.0,0,-74.0012,40.7394,2850
15623,1.0,2,-73.9862,40.7514,3400
30078,2.0,2,-74.0087,40.7136,10346
3366,1.0,0,-73.9969,40.742,3995
2940,1.0,3,-73.9865,40.7348,4900
36938,1.0,3,-73.9982,40.7568,4500
21680,1.0,2,-73.9864,40.7399,3770
45183,3.0,3,-73.9686,40.7604,10000
27231,1.0,2,-73.987,40.7261,4295
49163,1.0,3,-73.9659,40.6736,3500
21354,1.0,1,-73.9297,40.6808,2750
22848,3.0,3,-74.0148,40.716,9000
11255,1.0,1,-73.9401,40.7515,2700
35785,1.0,1,-73.9475,40.7847,2000
43167,1.0,3,-74.0149,40.7083,3800
48034,1.0,1,-73.9574,40.7673,3100
6615,1.0,0,-73.9946,40.7325,2595
